Range start,Prefix,Status
2001:678:12::,48,Assigned
2001:678:d4::,48,Assigned
2001:678:79c::,48,Assigned
2001:678:b14::,48,Assigned
2001:678:b50::,48,Assigned
2001:678:bd0::,48,Assigned
2001:678:c78::,48,Assigned
2001:67c:790::,48,Assigned
2001:67c:174c::,48,Assigned
2001:67c:1b08::,48,Assigned
2001:67c:21a0::,48,Assigned
2001:67c:296c::,48,Assigned
2001:67c:2db0::,48,Assigned
2001:67c:2fbc::,48,Assigned
2001:7f8:2::,48,Assigned
2001:7f8:b::,48,Assigned
2001:7f8:10::,48,Assigned
2001:7f8:1b::,48,Assigned
2001:7f8:23::,48,Assigned
2001:7f8:57::,48,Assigned
2001:7f8:5f::,48,Assigned
2001:7f8:ab::,48,Assigned
2001:7f8:b9::,48,Assigned
2001:7f8:c0::,48,Assigned
2001:7f8:c5::,48,Assigned
2001:7f8:cf::,48,Assigned
2001:7f8:101::,48,Assigned
2001:7f8:112::,48,Assigned
2001:7f8:11b::,48,Assigned
